time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
7.6,3,580.5663062620537,443.9345842658156,9.409650544926759,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.6,4,750.574261486361,454.83161108321593,7.721249583530725,1278204168#0_0,1278204168#0,False
7.6,5,510.4613436058861,302.63258787361417,5.240010894658279,722054809#1_1,722054809#1,False
7.7,1,613.4611920682676,428.95700267540116,13.167227111709115,817119562#4_0,817119562#4,False
7.7,2,596.4525986174599,378.3153873494262,11.998612474295388,466112794#6_0,466112794#6,False
7.7,3,580.0669415959409,444.75438915192007,9.599648762168131,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.7,4,750.2133409407267,455.53156119271205,7.875140365862308,1278204168#0_0,1278204168#0,False
7.7,5,510.10949787759034,302.22075283025544,5.4158292581050205,722054809#1_1,722054809#1,False
7.8,1,612.6247946142506,427.9985397701651,12.717227111709116,817119562#4_0,817119562#4,False
7.8,2,597.2406320993636,379.24566101762485,12.193240066134914,466112794#6_0,466112794#6,False
7.8,3,579.5601910309609,445.5863194373378,9.741633247113555,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.8,4,749.8423595261461,456.25102281632314,8.094664458110483,1278204168#0_0,1278204168#0,False
7.8,5,509.74589737878307,301.7951588407621,5.5967660293637325,722054809#1_1,722054809#1,False
7.9,1,611.8179931445628,427.0739921440671,12.267227111709117,817119562#4_0,817119562#4,False
7.9,2,598.0447387103857,380.1949090176607,12.441939552204294,466112794#6_0,466112794#6,False
7.9,3,579.0434690832321,446.4346197001559,9.93332036187849,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.9,4,749.4610951339604,456.9904266997689,8.319034871486501,1278204168#0_0,1278204168#0,False
7.9,5,509.3696888586424,301.3548071759727,5.790836570321351,722054809#1_1,722054809#1,False
8.0,1,611.040787659204,426.1833597971073,11.817227111709117,817119562#4_0,817119562#4,False
8.0,2,597.553198796941,379.6159128678234,12.69059179067759,:6773182778_0_0,:6773182778_0,False
8.0,3,578.5138189340173,447.30414413734195,10.181848545416491,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
8.0,4,749.0716825553133,457.7456327426507,8.496825005318524,1278204168#0_0,1278204168#0,False
8.0,5,508.98425662511346,300.90365916466646,5.932813729113202,722054809#1_1,722054809#1,False
8.1,1,610.2931781581744,425.32664272928554,11.367227111709118,817119562#4_0,817119562#4,False
8.1,3,577.9761809239196,448.18678221236735,10.335404982303501,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
8.1,4,748.6729261529171,458.51895970033024,8.700703461302464,1278204168#0_0,1278204168#0,False
8.1,5,508.5863953468778,300.43796297001137,6.124129350022647,722054809#1_1,722054809#1,False
8.2,1,609.5751646414739,424.50384094060183,10.917227111709119,817119562#4_0,817119562#4,False
8.2,3,577.426977708195,449.0884068371535,10.557731308967107,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
8.2,4,748.2664205995917,459.3073149491588,8.869786801174767,1278204168#0_0,1278204168#0,False
8.2,5,508.17715292477664,299.9589451588058,6.299315026528436,722054809#1_1,722054809#1,False
8.3,1,608.8867471091024,423.7149544310563,10.46722711170912,817119562#4_0,817119562#4,False
8.3,3,576.8688908328695,450.0046157287919,10.728508333607808,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
8.3,4,747.8535997998144,460.1079176510596,9.007582925154846,1278204168#0_0,1278204168#0,False
8.3,5,507.7585889654748,299.4690164984169,6.442797950555339,722054809#1_1,722054809#1,False
8.4,1,608.22792556106,422.9599832006488,10.01722711170912,817119562#4_0,817119562#4,False
8.4,3,576.3012202351146,450.93655817750385,10.912743173197143,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
8.4,4,747.4326878988011,460.92421180434695,9.184127482454777,1278204168#0_0,1278204168#0,False
8.4,5,507.32923341423094,298.96645629136447,6.608908875545255,722054809#1_1,722054809#1,False
8.5,1,607.5986999973468,422.23892724937946,9.567227111709121,817119562#4_0,817119562#4,False
